1,9824
2,21107
3,43782
4,0
4,65535
5,35566
6,9116
7,1680
8,8560
9,30836
10,8334
11,19092
12,38275
12,45271
12,45485
13,12656
13,1901
13,21285
13,28834
13,41351
13,8447
13,8562
14,2764
14,4174
14,4175
15,21183
16,21309
17,15808
18,17899
18,19397
18,22419
19,30990
20,25002
21,36974
22,8439
23,30868
24,15582
24,21106
24,25272
24,35510
24,39696
24,41462
24,42286
25,36947
26,34630
27,48185
28,8591
29,8990
30,42841
31,48291
32,39728
33,48730
34,29073
35,36925
36,35191
37,8675
38,10456
38,10770
38,10771
38,10772
38,10773
38,10774
38,11026
38,11712
38,13420
38,13421
38,13422
38,13964
38,13965
38,13979
38,14247
38,16959
38,16961
38,16962
38,16963
38,16964
38,16965
38,16966
38,16967
38,1698
38,19483
38,19484
38,19485
38,19486
38,19487
38,19488
38,19489
38,19490
38,19491
38,19492
38,19493
38,19494
38,19495
38,19496
38,19497
38,19498
38,22849
38,3420
38,3421
38,3422
38,3423
38,4185
38,4186
38,4465
38,4467
38,4468
38,4473
38,4990
38,5102
38,5103
38,5104
38,5105
38,5107
38,5671
38,5672
38,5673
38,5674
38,5675
38,5676
38,5677
38,5678
38,5679
38,5680
38,5681
38,5727
38,5728
38,5729
38,5730
38,5731
38,6269
38,6478
38,7018
38,7053
38,7222
38,7286
38,7287
38,7288
38,7290
38,7291
38,7292
38,7293
38,7294
38,795
38,796
38,797
38,8086
38,2386
39,20057
39,3448
40,9387
41,35533
42,35271
43,49403
44,44725
45,35047
46,21804
47,9556
48,6057
48,7167
49,15855
50,2614
51,55831
52,3238
53,5771
53,7782
54,42347
54,42823
54,44581
55,23860
56,11079
56,15290
56,17154
56,2767
56,6401
56,6463
56,6537
56,6996
57,39824
58,29695
59,12252
59,27702
60,29485
61,17640
61,18376
61,9822
62,34726
62,39792
63,12829
64,50060
65,44895
66,15527
67,25233
68,31549
69,38976
70,12297
71,27364
72,15516
73,20985
74,4685
75,41230
76,51997
77,42296
77,42599
77,42703
77,43092
77,43286
77,43419
77,43501
77,44599
77,44749
77,47422
77,47651
77,48025
77,49331
77,49447
77,50236
77,51255
78,34058
78,8225
79,42268
80,11776
80,12035
80,15341
80,22719
80,26203
80,26384
80,26469
80,32939
80,53250
81,45951
82,14000
82,6503
83,15994
83,31012
84,24651
84,34018
85,19632
85,22047
86,34606
87,15670
88,36522
89,2611
89,3
89,44800
90,9146
91,9498
92,35810
93,11818
93,16765
93,16817
93,33363
93,35898
93,6
94,17803
95,12797
95,3313
95,8968
96,14988
97,2856
98,6280
99,42309
99,8473
100,12688
101,11788
101,19391
101,20357
102,28787
103,39007
104,42439
105,28812
106,5416
107,6648
108,41592
109,44087
110,18209
110,55577
111,17964
112,42148
113,6877
114,5432
115,10269
116,6608
116,8187
116,855
117,11489
117,577
117,601
117,602
117,603
117,6539
118,16473
118,19956
118,19957
118,6380
118,6381
118,6382
118,6383
118,6384
118,6385
118,6386
118,6387
118,6388
118,6389
119,50693
119,6700
120,12436
121,35362
122,8551
123,24560
123,45514
123,55557
124,45609
125,9534
126,13194
127,16223
128,13124
129,12844
129,21093
129,5410
130,29518
131,33588
132,39627
132,5607
132,6763
133,23682
134,2116
134,25351
135,23292
135,26706
135,27568
136,10094
137,42145
138,13490
139,8866
140,43205
141,44911
142,12406
143,10036
144,36874
